Program,Question,Qualifying_Answers,Disqualifying_Answers,Notes
SNAP/CalFresh,How many people live in your household and purchase/prepare food together?,Any number (1-8+ people) - determines benefit amount and income limits,None - household size doesn't disqualify but affects eligibility calculations,"Larger households have higher income limits. Must include all people who live together and purchase/prepare food together, including non-relatives."
SNAP/CalFresh,What is your household's total monthly gross income (before taxes and deductions)?,<=200% FPL for most households; <=165% FPL if elderly/disabled member; <=130% FPL for some categories,Income exceeding applicable Federal Poverty Level percentage for household size,"2025 FPL: $1,580/month (1 person), $2,137/month (2 people). Some deductions may apply. Students may have different limits."
SNAP/CalFresh,Does your household include anyone who is 60+ years old or has a disability?,Yes (qualifies for 200% FPL limit) OR No (qualifies for 165% FPL limit),"None - both answers can qualify, just different income limits apply",Elderly/disabled households get higher income limits and may be exempt from certain requirements.
SNAP/CalFresh,Are you a resident of California?,Yes - must be California resident,No - not a California resident,Must apply in county where you live. Temporary absence doesn't disqualify if you intend to return.
SNAP/CalFresh,What is your citizenship/immigration status?,"U.S. citizen OR qualified non-citizen (LPR, refugee, asylee, certain others)","Undocumented immigrants, temporary visitors, students on F-1 visas",Mixed-status households can apply for eligible members. Some non-citizens have 5-year waiting period.
SNAP/CalFresh,"Are you between ages 18-54, able-bodied, and without dependents (ABAWD)?",No (not ABAWD) OR Yes but working 20+ hours/week OR Yes with exemption,Yes and not working 20+ hours/week and no exemption,"ABAWDs limited to 3 months in 36-month period unless working/training. Exemptions include disability, pregnancy, caring for child under 6."
SNAP/CalFresh,Are you a student enrolled at least half-time in college (ages 18-49)?,"No (not a student) OR Yes with qualifying exemption (work 20+ hrs, caring for child under 6, receiving TANF, etc.)","Yes, student without qualifying exemption","Student exemptions include: work-study, caring for dependent under 6, single parent with child under 12, receiving TANF."
SNAP/CalFresh,Do you have less than $100 in liquid resources?,Yes (may qualify for expedited service) OR No but meet other criteria,Excessive liquid resources (varies by household type),"Most households have no asset limits. Elderly/disabled households: $4,250 limit. Expedited service if <$100 and very low income."
Medicaid/Medi-Cal,What is your household's total monthly gross income (before taxes and deductions)?,<=138% FPL (adults) OR <=266% FPL (children/pregnant women),Income exceeding applicable FPL percentage for category,"Different pathways: MAGI (most adults/children), non-MAGI (elderly/disabled). Pregnant women eligible up to 213% FPL."
Medicaid/Medi-Cal,What is your age?,Any age - different pathways available,"None - age determines pathway, not eligibility","Children (0-18), Adults (19-64), Elderly (65+) have different income limits and requirements."
Medicaid/Medi-Cal,Are you currently pregnant?,Yes (higher income limits apply) OR No (standard limits apply),None - pregnancy status affects income limits but doesn't disqualify,Pregnant women eligible up to 213% FPL. Coverage continues through pregnancy and 60 days postpartum.
Medicaid/Medi-Cal,Do you have a disability as defined by Social Security Administration?,Yes (may qualify under disability pathway) OR No (may qualify under other pathways),None - disability status opens additional pathways,Disabled individuals may qualify regardless of age through SSI or other disability pathways.
Medicaid/Medi-Cal,"Do you currently receive SSI, CalFresh, or CalWorks?",Yes - automatically income-eligible for Medi-Cal,"None - if 'No', may still qualify through income or other pathways",Categorical eligibility - receiving these benefits automatically qualifies for Medi-Cal without separate income test.
Medicaid/Medi-Cal,What is your citizenship/immigration status?,U.S. citizen OR qualified non-citizen,Undocumented immigrants (except emergency services),Emergency Medi-Cal available for undocumented immigrants. Some non-citizens subject to 5-year waiting period.
Medicaid/Medi-Cal,Are you a California resident?,Yes - California resident,No - not a California resident,Must intend to reside in California. Temporary absence doesn't disqualify if planning to return.
SSI,"Are you 65 or older, blind, or disabled?","Yes - at least one: Age 65+, blind (specific vision criteria), or disabled (unable to work)","No - under 65, not blind, and not disabled",Must meet SSA definition of disability: unable to engage in substantial gainful activity due to medical condition lasting 12+ months.
SSI,What is your monthly income from non-work sources?,"Less than $987/month for individuals, $1,485/month for couples (2025)","$987+ monthly for individuals, $1,485+ for couples","Includes Social Security, pensions, unemployment. First $20/month excluded. Some income may not count."
