id,name,city,address,website
35,Art House Recovery Bridge Housing (LA CADA),Los Angeles,"Los Angeles, CA",
13,Beachfront Sober Living,Orange County,"Orange County, CA",
396,Bicycle Health (Telehealth),Telehealth,,https://www.bicyclehealth.com
32,Bran Life Recovery,Costa Mesa,"Costa Mesa, CA 92627",
398,Bright Heart Health (Telemedicine),Telehealth,,https://www.brighthearthealth.com/telemedicine-medication-assisted-treatment-california/
394,Crownview Medical Group - Sublocade Clinic,San Diego,,https://sandiegopsychiatrist.com/sublocade-clinic-san-diego/
19,Exodus Recovery,Los Angeles,"Los Angeles, CA",
397,Klinic (Telehealth),Telehealth,,https://klinic.com/suboxone/california
34,La Jolla Recovery,San Diego,"San Diego, CA",
381,LA Suboxone,Los Angeles,,https://lasuboxone.com/sublocade/
37,Midnight Mission - HomeLight Family Living,Los Angeles,"Los Angeles, CA",
399,Ophelia (California Telehealth),Telehealth,,https://ophelia.com/local-help/california
20,Pacifica Recovery,Los Angeles,"Los Angeles, CA",
33,Riverside Recovery LA,Riverside,"Riverside, CA",
30,Silverado Residential Center,Orange County,"Orange County, CA",
10,The Nook Sober Living,West Los Angeles,"West Los Angeles, CA",
36,Wellness Housing,Downtown Los Angeles,"Downtown Los Angeles, CA",
