id,name,phone,score,evidence
282,Hot Peach Pages / International Directory,(016) 975-9186,7,website
281,NO MORE Global Directory,(176) 585-0669,7,website
5,Homeless Not Toothless (HNT),(698) 205-8967,7,website
7,Lestonnac Free Clinic,(714) 633-4600,31,website | serp | local_results.phone | organic:lestonnacfreeclinic.org | organic:yelp.com | organic:lestonnacfreeclinic.org | organic:1degree.org | organic:lestonnacfreeclinic.org
13,Western Dental,(800) 579-3783,27,website | serp | organic:westerndental.com | organic:westerndental.com | organic:westerndental.com | organic:westerndental.com
193,Audubon Middle School,(323) 290-6300,21,serp | knowledge_graph.phone | organic:audubonms.org | organic:cde.ca.gov | organic:audubonms.org | organic:schooldirectory.lausd.net | organic:yelp.com | organic:explore.lausd.org | organic:cde.ca.gov | organic:audubonms.org
255,Banning Senior High School,(310) 847-3700,21,serp | knowledge_graph.phone | organic:banninghs.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:banninghs.lausd.org | organic:cde.ca.gov | organic:yelp.com | organic:tfdsupplies.com | organic:banninghs.lausd.org
204,Barack Obama Preparation Academy,(323) 421-1700,19,serp | knowledge_graph.phone | organic:obamaprepacademy.lausd.org | organic:cde.ca.gov | organic:obamaprepacademy.lausd.org | organic:yelp.com | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:cde.ca.gov
222,Bell Senior High School,(323) 832-4700,21,serp | knowledge_graph.phone | organic:bellhs.lausd.org | organic:bellhs.lausd.org | organic:schooldirectory.lausd.net | organic:yelp.com | organic:ed-data.org | organic:bellhs.lausd.org | organic:cde.ca.gov | organic:bellhs.lausd.org
166,Belvedere Middle School,(323) 266-5400,19,serp | knowledge_graph.phone | organic:belvederems.lausd.org | organic:belvederems.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:belvederems.lausd.org | organic:ed-data.org | organic:belvederems.lausd.org
168,Berendo Middle School,(213) 739-5600,23,serp | knowledge_graph.phone | organic:berendoms.lausd.org | organic:berendoms.lausd.org | organic:cde.ca.gov | organic:berendoms.lausd.org | organic:berendoms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:berendoms.lausd.org | organic:ed-data.org
178,Bernstein Senior High School,(323) 817-6400,21,serp | knowledge_graph.phone | organic:bernsteinhs.lausd.org | organic:schooldirectory.lausd.net | organic:cde.ca.gov | organic:bernsteinhs.lausd.org | organic:yelp.com | organic:nces.ed.gov | organic:ed-data.org | organic:bernsteinhs.lausd.org
169,Burbank Middle School,(323) 340-4400,21,serp | knowledge_graph.phone | organic:lbmsbears.com | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:yelp.com | organic:ed-data.org | organic:schooldirectory.lausd.net | organic:sarconline.org | organic:cde.ca.gov
