id,name,type,phone,address,website
5,Homeless Not Toothless (HNT),dental,,"Los Angeles, CA",https://www.homelessnottoothless.org
7,Lestonnac Free Clinic,dental,,"Los Angeles, Orange, San Bernardino Counties",https://www.lestonnacfreeclinic.org
13,Western Dental,dental,,Multiple locations across Los Angeles,https://www.westerndental.com
193,Audubon Middle School,food,,"4120 11th Ave, LA, CA 90008",
255,Banning Senior High School,food,,"1527 Lakme Ave, Wilmington, CA 90744",
204,Barack Obama Preparation Academy,food,,"1700 W 46th St, LA, CA 90062",
222,Bell Senior High School,food,,"4328 Bell Ave, Bell, CA 90201",
166,Belvedere Middle School,food,,"312 N Record Ave, LA, CA 90063",https://achieve.lausd.net/resources
168,Berendo Middle School,food,,"1157 S Berendo St, LA, CA 90006",https://achieve.lausd.net/resources
178,Bernstein Senior High School,food,,"1309 N Wilton Place, Hollywood, CA 90028",https://achieve.lausd.net/resources
169,Burbank Middle School,food,,"6460 N Figueroa St, LA, CA 90042",https://achieve.lausd.net/resources
179,Cochran Middle School,food,,"4066 W Johnnie Cochran Vista, LA, CA 90019",https://achieve.lausd.net/resources
256,Curtiss Middle School,food,,"1254 E Helmick St, Carson, CA 90746",
257,Dana Middle School,food,,"1501 S Cabrillo Ave, San Pedro, CA 90731",
212,Dorsey Senior High School,food,,"3537 Farmdale Ave, LA, CA 90016",
205,Dr. Julian Nava Learning Academy,food,,"1420 E Adams Blvd, LA, CA 90011",
258,Dymally High School,food,,"8800 San Pedro St, LA, CA 90003",
170,Eagle Rock High School,food,,"1750 Yosemite Dr, LA, CA 90041",https://achieve.lausd.net/resources
209,Edison Middle School,food,,"6500 Hooper Ave, LA, CA 90001",
220,Ellen Ochoa Learning Center,food,,"5027 Live Oak St, Cudahy, CA 90201",
180,Fairfax Senior High School,food,,"7850 Melrose Ave, LA, CA 90046",https://achieve.lausd.net/resources
141,First Church of the Nazarene of Pasadena,food,,"275 S Raymond Ave, Pasadena, CA 91105",https://www.paznaz.org/compassionateministries/
142,Foothill Kitchen,food,,"Lario Park 3089 E Huntington Dr, Irwindale, CA 91706",
259,Fremont Senior High School,food,,"7676 S San Pedro St, LA, CA 90003",
223,Gage Middle School,food,,"2880 E Gage Ave, Huntington Park, CA 90253",
224,Garfield Senior High School,food,,"5101 E 6th St, LA, CA 90022",
210,Gompers Middle School,food,,"234 E 112th St, LA, CA 90061",
213,Harte Preparatory Middle School,food,,"9301 S Hoover St, LA, CA 90044",
144,Helping Hands Caring Hearts Ministry,food,,"480 W Monterey St, Pomona, CA",https://www.hhchpomona.org/
175,Hollenbeck Middle School,food,,"2510 E 6th St, LA, CA 90023",https://achieve.lausd.net/resources
161,LA LGBT Center,food,,"1118 N McCadden Place, LA, CA 90038",http://www.lalgbtcenter.org
171,Liechty Middle School,food,,"650 S Union Ave, LA, CA 90017",https://achieve.lausd.net/resources
176,Lincoln Senior High School,food,,"3501 N Broadway, LA, CA 90031",https://achieve.lausd.net/resources
206,Los Angeles Academy Middle School,food,,"644 56th St, LA, CA 90011",
99,Love on Purpose Outreach Ministries Inc.,food,,"44217 10th St. W, Lancaster, CA 93534",
100,Manna Ministry Courson Park,food,,"38233 11th St. E, Palmdale, CA 93550",
207,Manual Arts High School,food,,"4131 S Vermont Ave, LA, CA 90037",
194,Marina Del Rey Middle School,food,,"12500 Braddock Dr, LA, CA 90066",
211,Markham Middle School,food,,"1650 E 104th St, LA, CA 90002",
225,Marquez Senior High School,food,,"6361 Cottage St, Huntington Park, CA 90255",
221,Maywood Center for Enriched Studies (MaCES),food,,"5800 King Ave, Maywood, CA 90270",
214,Muir Middle School,food,,"5929 S Vermont Ave, LA, CA 90044",
134,Mulholland Middle School,food,,"17120 Vanowen Ave, Lake Balboa, CA 91406",https://achieve.lausd.net/resources
260,Narbonne Senior High School,food,,"24300 Western Ave, Harbor City, CA 90710",
102,Neighborhood Impact / TREND Home,food,,"43028 Guyman Ave., Lancaster, CA 93536",
103,Operation Give Hope Inc.,food,,"777 W Jackman, Lancaster, CA 93534",
104,Operation Give Hope Inc.,food,,"Beach Ave. and H12, Lancaster, CA 93534",
105,Operation Give Hope Inc.,food,,"701 W Kettering, Lancaster, CA 93534",
106,Palmdale 7th Day Adventist Church,food,,"1758 Ave. R, Palmdale, CA 93550",
107,Palmdale Vineyard Church,food,,"508 E. Palmdale Blvd., Lancaster, CA 93549",
195,Palms Middle School,food,,"10860 Woodbine St, LA, CA 90034",
261,Peary Middle School,food,,"1415 W Gardena Blvd, Gardena, CA 90247",
108,Penny Lane Centers,food,,"2105 E Ave. J-8, Lancaster, CA 93535",
109,Q.H. First Baptist Church,food,,"4829 W Ave. L8, Quartz Hill, CA 93536",
172,RFK/UCLA Community School,food,,"700 S Mariposa Ave, LA, CA 90005",https://achieve.lausd.net/resources
208,RFK/UCLA Community School,food,,"700 S Mariposa Ave, LA, CA 90005",
262,Rancho Dominguez Preparatory School,food,,"4110 Santa Fe Ave, LA, CA 90810",
126,Romer Middle School,food,,"6501 Laurel Canyon Blvd, North Hollywood, CA 91606",https://achieve.lausd.net/resources
110,SAVES,food,,"1002 Q-12, Palmdale, CA 93550",
173,Santee High School,food,,"1921 Maple Ave, LA, CA 90011",https://achieve.lausd.net/resources
111,Shekinah,food,,"42640 10th St. W, Lancaster, CA 93534",
112,Shelly's,food,,"1002 W Ave. H-14, Lancaster, CA 93535",
174,Sotomayor Arts/Sciences Magnet,food,,"2050 N San Fernando Rd, LA, CA 90065",https://achieve.lausd.net/resources
226,South East Senior High School,food,,"2720 Tweedy Blvd, South Gate, CA 90280",
227,South Gate Senior High School,food,,"3351 Firestone Blvd, South Gate, CA 90080",
113,St. Vincent De Paul,food,,"45058 Trevor St., Lancaster, CA 93550",
196,University High School Charter,food,,"11800 Texas Ave, LA, CA 90025",
167,Virgil Middle School,food,,"152 N Vermont Ave, LA, CA 90004",https://achieve.lausd.net/resources
264,Washington Preparatory Senior High School,food,,"10860 S Denker Ave, LA, CA 90047",
263,White Middle School,food,,"22102 S Figueroa St, Carson, CA 90745",
177,Wilson Senior High School,food,,"4500 Multnomah St, LA, CA 90032",https://achieve.lausd.net/resources
20,Central City Neighborhood Partners,parenting_classes,,,https://ccnpinc.org
